Competitor,Country Code,City Code,hex7_tag,Restaurant Name,Ratings,Reviews,Tag,Restaurant Time,Min. Order,Delivery Charges,Restaurant URL,Created_at,Updated_at
tazz.ro,RO,SBU,871ee50cbffffff,Hochmeister,-.-,2,InternaÈ›ional ,Deschide la 12:00,FALSE,"8 00 								Lei",https://tazz.ro/sibiu/hochmeister/4243/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Marietto,-.-,2,InternaÈ›ional ,Închis,29 00 Lei,"8 00 								Lei",https://tazz.ro/sibiu/marietto/4965/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Zoom,-.-,0,InternaÈ›ional ,Închide la 19:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/zoom/4417/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Picaso Delivery,4.9,28,InternaÈ›ional ,Închide la 23:00,FALSE,"8 00 								Lei",https://tazz.ro/sibiu/picaso-delivery/4771/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Mexican Food Sibiu,4.7,11,Mexican ,Închide la 21:30,30 00 Lei,"8 00 								Lei",https://tazz.ro/sibiu/mexican-food-sibiu/3047/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Joy Pizza,4.4,8,InternaÈ›ional ,Închide la 22:30,30 00 Lei,"4 99 								Lei",https://tazz.ro/sibiu/joy-pizza/3693/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,City Burger,4.3,23,American ,Închide la 21:30,35 00 Lei,"8 00 								Lei",https://tazz.ro/sibiu/city-burger/462/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Taco Bell Sibiu,4.2,32,Mexican ,Închide la 21:45,FALSE,Free Delivery,https://tazz.ro/sibiu/taco-bell-sibiu/1789/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Food Factory,4.1,20,InternaÈ›ional ,Închide la 22:30,30 00 Lei,"4 99 								Lei",https://tazz.ro/sibiu/food-factory/2988/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Joy Burger,4,29,InternaÈ›ional ,Închide la 22:30,35 00 Lei,Free Delivery,https://tazz.ro/sibiu/joy-burger/2985/partener,5/1/2021 13:08,5/1/2021 13:08
